2025-11-21 11:25:21 [INFO] ================================================================================
2025-11-21 11:25:21 [INFO] LSTM STATE ESTIMATOR (LATE FUSION + RESIDUAL + L1 LOSS)
2025-11-21 11:25:21 [INFO] Config: HIGH_DELAY | Trajectory: TrajectoryType.FIGURE_8
2025-11-21 11:25:21 [INFO] ================================================================================
2025-11-21 11:25:21 [INFO] Targeting Dataset Balance: 40000 Static / 160000 Dynamic
2025-11-21 11:25:21 [INFO] Injected 40000 static hold samples (Augmented with Delay=0).
2025-11-21 11:25:21 [INFO] Collecting dynamic trajectories...
2025-11-21 11:25:29 [INFO]   -> 5000/160000 dynamic samples
2025-11-21 11:25:36 [INFO]   -> 10000/160000 dynamic samples
2025-11-21 11:25:43 [INFO]   -> 15000/160000 dynamic samples
2025-11-21 11:25:51 [INFO]   -> 20000/160000 dynamic samples
2025-11-21 11:25:58 [INFO]   -> 25000/160000 dynamic samples
2025-11-21 11:26:06 [INFO]   -> 30000/160000 dynamic samples
2025-11-21 11:26:13 [INFO]   -> 35000/160000 dynamic samples
2025-11-21 11:26:20 [INFO]   -> 40000/160000 dynamic samples
2025-11-21 11:26:27 [INFO]   -> 45000/160000 dynamic samples
2025-11-21 11:26:35 [INFO]   -> 50000/160000 dynamic samples
2025-11-21 11:26:42 [INFO]   -> 55000/160000 dynamic samples
2025-11-21 11:26:50 [INFO]   -> 60000/160000 dynamic samples
2025-11-21 11:26:57 [INFO]   -> 65000/160000 dynamic samples
2025-11-21 11:27:05 [INFO]   -> 70000/160000 dynamic samples
2025-11-21 11:27:12 [INFO]   -> 75000/160000 dynamic samples
2025-11-21 11:27:19 [INFO]   -> 80000/160000 dynamic samples
2025-11-21 11:27:27 [INFO]   -> 85000/160000 dynamic samples
2025-11-21 11:27:34 [INFO]   -> 90000/160000 dynamic samples
2025-11-21 11:27:42 [INFO]   -> 95000/160000 dynamic samples
